name,country,segment,ats,token,list_url
Coupang,KR,ecommerce,greenhouse,coupang,
Danggeun,KR,marketplace,greenhouse,daangn,
Moloco,KR,adtech,greenhouse,moloco,
Sendbird,KR,data-infra,greenhouse,sendbird,
Krafton,KR,gaming,greenhouse,krafton,
Olive Young,KR,ecommerce,greeting,oliveyoung,
Musinsa,KR,ecommerce,greeting,musinsa,
Kurly,KR,ecommerce,greeting,kurly,
Team Sparta,KR,edtech,greeting,teamsparta,
Idus,KR,ecommerce,greeting,idus,
111Percent,KR,gaming,greeting,111percent,
MyRealTrip,KR,travel,greeting,myrealtrip,
Wadiz,KR,fintech,greeting,wadiz,
W Concept,KR,ecommerce,greeting,wconcept,
Gravity Labs,KR,healthtech,greeting,gravitylabs,
Zigbang,KR,proptech,greeting,zigbang,
Finda,KR,fintech,greeting,finda,
Allganize,KR,ai,greeting,allganize,
Estsoft Family,KR,ai,greeting,estfamily,
NextSecurities,KR,fintech,greeting,nextsecurities,
Gangnam Unni,KR,healthtech,greeting,healingpaper,
CatchTable,KR,saas,greeting,catchtable,
Yeogi Eottae,KR,travel,greeting,gccompany,
Buzzvil,KR,adtech,greeting,buzzvil,
Lezhin,KR,saas,greeting,kstd-lezhin,
TheBackend,KR,gaming,greeting,thebackend,
MiraeN,KR,edtech,greeting,mirae-n,
TeamDoeat,KR,ecommerce,greeting,teamdoeat,
Scale AI,US,ai,greenhouse,scaleai,
Labelbox,US,ai,greenhouse,labelbox,
GitLab,US,devtools,greenhouse,gitlab,
Postman,US,devtools,greenhouse,postman,
Vercel,US,devtools,greenhouse,vercel,
JFrog,US,devtools,greenhouse,jfrog,
Temporal,US,devtools,greenhouse,temporaltechnologies,
LaunchDarkly,US,devtools,greenhouse,launchdarkly,
CircleCI,US,devtools,greenhouse,circleci,
Instacart,US,ecommerce,greenhouse,instacart,
Flexport,US,ecommerce,greenhouse,flexport,
Faire,US,ecommerce,greenhouse,faire,
Brex,US,fintech,greenhouse,brex,
Affirm,US,fintech,greenhouse,affirm,
Coinbase,US,fintech,greenhouse,coinbase,
Robinhood,US,fintech,greenhouse,robinhood,
Gusto,US,fintech,greenhouse,gusto,
Chime,US,fintech,greenhouse,chime,
Mercury,US,fintech,greenhouse,mercury,
Carta,US,fintech,greenhouse,carta,
Scopely,US,gaming,greenhouse,scopely,
Maven,US,healthtech,greenhouse,mavenclinic,
Figma,US,saas,greenhouse,figma,
Airtable,US,saas,greenhouse,airtable,
Apollo,US,saas,greenhouse,apolloio,
Contentful,US,saas,greenhouse,contentful,
Webflow,US,saas,greenhouse,webflow,
Calendly,US,saas,greenhouse,calendly,
Netskope,US,security,greenhouse,netskope,
Abnormal,US,security,greenhouse,abnormalsecurity,
Huntress,US,security,greenhouse,huntress,
Dragos,US,security,greenhouse,dragos,
OpenAI,US,ai,html,openai,https://jobs.ashbyhq.com/openai
Ramp,US,fintech,html,ramp,https://jobs.ashbyhq.com/ramp
Notion,US,saas,html,notion,https://jobs.ashbyhq.com/notion
